station_id,timestamp,DO,pH,conductivity,turbidity,BOD,nitrate
STN_D,2025-02-08 19:00:00,4.31,7.13,510.1,23.61,11.21,12.67
STN_A,2025-02-08 20:00:00,6.76,7.62,328.64,8.2,3.25,5.59
STN_B,2025-02-08 20:00:00,5.76,7.56,362.81,11.27,6.01,7.7
STN_C,2025-02-08 20:00:00,5.42,7.31,478.58,15.54,8.47,9.65
STN_D,2025-02-08 20:00:00,4.13,7.15,530.61,24.41,12.03,12.26
STN_A,2025-02-08 21:00:00,6.51,7.59,329.93,5.79,3.93,5.95
STN_B,2025-02-08 21:00:00,6.01,7.36,399.49,13.4,6.99,6.25
STN_C,2025-02-08 21:00:00,5.9,7.27,442.66,17.24,10.06,10.19
STN_D,2025-02-08 21:00:00,4.89,7.23,518.87,23.88,13.75,12.42
STN_A,2025-02-08 22:00:00,6.97,7.68,337.61,10.38,4.19,5.62
STN_B,2025-02-08 22:00:00,6.78,7.54,364.3,11.72,5.25,7.52
STN_C,2025-02-08 22:00:00,5.87,7.34,425.98,19.83,7.88,9.37
STN_D,2025-02-08 22:00:00,4.79,7.27,526.63,25.2,13.71,13.34
STN_A,2025-02-08 23:00:00,7.28,7.73,300.9,8.04,6.0,4.99
STN_B,2025-02-08 23:00:00,6.17,7.59,373.27,11.11,5.91,8.16
STN_C,2025-02-08 23:00:00,5.63,7.27,427.62,21.61,9.12,10.56
STN_D,2025-02-08 23:00:00,4.74,7.3,542.19,24.32,12.66,12.45
STN_A,2025-02-09 00:00:00,7.7,7.72,314.11,7.85,3.89,5.02
STN_B,2025-02-09 00:00:00,5.76,7.59,378.2,13.03,5.88,6.83
STN_C,2025-02-09 00:00:00,5.8,7.27,452.45,15.5,10.19,10.71
STN_D,2025-02-09 00:00:00,4.82,7.35,521.97,23.78,10.68,13.49
STN_A,2025-02-09 01:00:00,6.99,7.81,320.51,7.25,5.74,5.64
STN_B,2025-02-09 01:00:00,5.53,7.58,359.54,11.1,6.18,7.51
STN_C,2025-02-09 01:00:00,6.01,7.51,459.85,19.16,9.46,11.07
STN_D,2025-02-09 01:00:00,5.13,7.3,491.71,26.88,12.24,15.06
STN_A,2025-02-09 02:00:00,7.23,7.75,328.49,6.64,4.58,5.32
STN_B,2025-02-09 02:00:00,6.66,7.74,366.74,12.71,7.46,6.87
STN_C,2025-02-09 02:00:00,5.96,7.63,457.41,17.54,9.94,9.96
STN_D,2025-02-09 02:00:00,4.88,7.46,503.75,28.97,11.91,14.58
STN_A,2025-02-09 03:00:00,7.04,7.85,327.79,9.55,5.07,5.0
STN_B,2025-02-09 03:00:00,6.46,7.66,383.64,11.59,6.52,7.49
STN_C,2025-02-09 03:00:00,5.88,7.5,446.29,17.25,9.93,9.83
STN_D,2025-02-09 03:00:00,5.31,7.37,540.91,25.59,12.72,13.12
STN_A,2025-02-09 04:00:00,7.51,7.78,324.7,7.85,5.37,5.07
STN_B,2025-02-09 04:00:00,6.42,7.9,375.39,14.27,7.42,7.86
STN_C,2025-02-09 04:00:00,6.17,7.51,431.18,21.28,8.62,10.14
STN_D,2025-02-09 04:00:00,5.56,7.38,510.44,27.39,13.06,13.49
STN_A,2025-02-09 05:00:00,7.46,7.88,313.33,10.65,4.39,6.03
STN_B,2025-02-09 05:00:00,6.95,7.7,398.68,15.59,7.55,7.82
STN_C,2025-02-09 05:00:00,6.46,7.45,454.73,16.93,9.6,10.56
STN_D,2025-02-09 05:00:00,4.99,7.4,526.52,25.17,12.58,12.49
STN_A,2025-02-09 06:00:00,7.36,7.88,320.31,8.81,3.86,5.31
STN_B,2025-02-09 06:00:00,6.31,7.76,407.42,10.7,5.54,7.56
STN_C,2025-02-09 06:00:00,6.74,7.5,431.86,17.98,8.47,9.9
STN_D,2025-02-09 06:00:00,5.51,7.32,508.63,25.41,12.47,12.44
STN_A,2025-02-09 07:00:00,7.7,7.76,331.1,9.47,3.86,5.67
STN_B,2025-02-09 07:00:00,6.73,7.8,368.31,12.83,6.15,6.69
STN_C,2025-02-09 07:00:00,6.55,7.44,424.8,13.97,8.6,11.12
STN_D,2025-02-09 07:00:00,5.96,7.34,514.68,24.6,11.23,12.73
STN_A,2025-02-09 08:00:00,7.82,7.82,324.39,6.29,4.38,3.91
STN_B,2025-02-09 08:00:00,7.18,7.7,360.12,14.72,4.86,7.62
STN_C,2025-02-09 08:00:00,6.4,7.38,449.73,15.84,7.02,9.66
STN_D,2025-02-09 08:00:00,5.34,7.43,521.31,25.44,11.49,12.98
STN_A,2025-02-09 09:00:00,7.17,7.67,311.39,8.41,3.84,5.1
STN_B,2025-02-09 09:00:00,7.06,7.63,360.29,13.14,6.51,7.49
STN_C,2025-02-09 09:00:00,6.34,7.5,450.73,21.88,8.27,9.94
STN_D,2025-02-09 09:00:00,5.74,7.38,531.67,25.55,13.4,12.69
STN_A,2025-02-09 10:00:00,7.75,7.84,302.14,9.24,4.26,4.93
STN_B,2025-02-09 10:00:00,6.18,7.57,390.92,13.52,6.13,7.79
STN_C,2025-02-09 10:00:00,6.33,7.46,439.46,18.96,9.69,10.7
STN_D,2025-02-09 10:00:00,5.61,7.24,512.65,22.45,12.89,13.17
STN_A,2025-02-09 11:00:00,7.36,7.6,341.31,6.51,4.92,5.37
STN_B,2025-02-09 11:00:00,6.57,7.6,370.73,14.24,6.31,6.54
STN_C,2025-02-09 11:00:00,5.81,7.43,463.76,17.39,8.87,10.31
STN_D,2025-02-09 11:00:00,5.49,7.21,527.88,24.6,12.04,14.5
STN_A,2025-02-09 12:00:00,7.04,7.76,331.08,6.53,2.82,5.79
STN_B,2025-02-09 12:00:00,6.17,7.46,395.69,10.77,5.68,8.48
STN_C,2025-02-09 12:00:00,5.3,7.3,443.4,17.94,8.58,9.6
STN_D,2025-02-09 12:00:00,5.55,7.32,529.07,25.09,12.53,13.86
STN_A,2025-02-09 13:00:00,6.67,7.69,330.74,10.61,5.85,5.34
STN_B,2025-02-09 13:00:00,6.71,7.36,403.58,11.21,6.1,7.56
STN_C,2025-02-09 13:00:00,5.62,7.39,474.11,17.72,8.43,11.38
STN_D,2025-02-09 13:00:00,5.13,7.42,533.25,23.31,12.81,12.71
STN_A,2025-02-09 14:00:00,6.85,7.64,296.03,7.08,6.06,5.44
STN_B,2025-02-09 14:00:00,6.19,7.69,374.35,12.16,7.09,7.06
STN_C,2025-02-09 14:00:00,5.32,7.17,436.25,16.88,9.42,9.93
STN_D,2025-02-09 14:00:00,5.49,7.16,541.31,25.63,12.94,13.74
STN_A,2025-02-09 15:00:00,6.08,7.62,316.36,6.6,4.66,6.33
STN_B,2025-02-09 15:00:00,5.34,7.48,361.61,12.4,6.04,6.93
STN_C,2025-02-09 15:00:00,5.65,7.46,490.22,17.19,7.84,10.63
STN_D,2025-02-09 15:00:00,5.23,7.29,544.39,24.96,11.81,13.37
STN_A,2025-02-09 16:00:00,6.56,7.66,334.84,9.87,4.7,5.44
STN_B,2025-02-09 16:00:00,6.3,7.35,383.45,12.37,6.47,7.24
STN_C,2025-02-09 16:00:00,5.49,7.26,467.24,19.01,9.42,9.88
STN_D,2025-02-09 16:00:00,4.91,7.23,508.96,25.21,12.8,13.63
STN_A,2025-02-09 17:00:00,6.76,7.61,335.68,10.15,4.89,4.94
STN_B,2025-02-09 17:00:00,5.7,7.46,409.6,12.72,8.0,7.22
STN_C,2025-02-09 17:00:00,5.24,7.29,448.91,17.14,8.38,10.6
STN_D,2025-02-09 17:00:00,4.93,7.4,513.79,24.77,11.68,13.97
STN_A,2025-02-09 18:00:00,6.84,7.53,306.76,9.72,4.6,5.75
STN_B,2025-02-09 18:00:00,5.73,7.35,367.17,13.33,7.98,7.04
STN_C,2025-02-09 18:00:00,5.98,7.36,429.4,18.62,9.99,8.84
STN_D,2025-02-09 18:00:00,4.79,7.29,526.28,25.2,12.16,13.16
STN_A,2025-02-09 19:00:00,6.26,7.54,314.05,8.47,3.85,4.77
STN_B,2025-02-09 19:00:00,6.24,7.53,372.21,13.06,5.93,7.33
STN_C,2025-02-09 19:00:00,5.61,7.25,432.71,18.08,8.21,10.13
STN_D,2025-02-09 19:00:00,4.53,7.0,528.26,25.02,13.24,13.43
STN_A,2025-02-09 20:00:00,6.88,7.7,318.32,8.29,3.04,6.04
STN_B,2025-02-09 20:00:00,6.02,7.43,391.39,9.03,5.95,7.84
STN_C,2025-02-09 20:00:00,5.23,7.25,444.05,15.28,9.87,10.22
STN_D,2025-02-09 20:00:00,4.58,7.19,520.51,26.28,12.25,12.48
STN_A,2025-02-09 21:00:00,6.91,7.66,323.38,9.91,4.32,5.96
STN_B,2025-02-09 21:00:00,6.56,7.57,369.08,12.1,7.29,6.4
STN_C,2025-02-09 21:00:00,5.32,7.3,437.32,19.61,9.6,9.87
STN_D,2025-02-09 21:00:00,4.92,7.21,506.94,24.23,12.64,13.86
STN_A,2025-02-09 22:00:00,6.7,7.69,344.02,6.41,4.58,5.79
STN_B,2025-02-09 22:00:00,6.22,7.64,413.28,12.81,6.11,7.88
STN_C,2025-02-09 22:00:00,5.8,7.14,450.25,17.7,9.61,10.18
STN_D,2025-02-09 22:00:00,4.82,7.18,531.31,27.78,11.62,12.46
STN_A,2025-02-09 23:00:00,6.97,7.67,337.86,6.45,3.87,4.01
STN_B,2025-02-09 23:00:00,6.78,7.59,373.34,10.31,5.31,7.54
STN_C,2025-02-09 23:00:00,5.33,7.38,480.94,17.77,8.53,10.52
STN_D,2025-02-09 23:00:00,4.6,7.41,541.35,25.05,11.58,13.04
STN_A,2025-02-10 00:00:00,7.01,7.73,335.89,6.74,5.1,5.67
STN_B,2025-02-10 00:00:00,6.34,7.51,382.04,10.71,7.11,6.62
STN_C,2025-02-10 00:00:00,5.96,7.39,441.89,18.14,10.16,9.58
STN_D,2025-02-10 00:00:00,4.97,7.24,519.72,24.27,10.88,12.66
STN_A,2025-02-10 01:00:00,7.72,7.74,323.48,7.87,4.25,5.04
STN_B,2025-02-10 01:00:00,6.78,7.63,362.73,12.68,4.33,7.54
STN_C,2025-02-10 01:00:00,5.5,7.41,432.38,18.3,9.76,11.2
STN_D,2025-02-10 01:00:00,4.76,7.4,522.26,24.62,12.9,13.15
STN_A,2025-02-10 02:00:00,7.56,7.67,310.8,9.71,5.48,5.27
STN_B,2025-02-10 02:00:00,5.91,7.63,380.78,11.95,6.56,7.01
STN_C,2025-02-10 02:00:00,6.3,7.35,468.85,20.62,8.56,9.75
STN_D,2025-02-10 02:00:00,5.47,7.25,512.91,26.95,12.89,14.48
STN_A,2025-02-10 03:00:00,7.5,7.72,321.06,8.07,4.19,5.28
STN_B,2025-02-10 03:00:00,6.57,7.69,359.17,11.22,6.2,5.94
STN_C,2025-02-10 03:00:00,6.38,7.3,460.34,16.36,8.97,10.61
STN_D,2025-02-10 03:00:00,6.11,7.38,490.56,26.73,12.11,13.34
STN_A,2025-02-10 04:00:00,7.7,7.6,320.39,7.68,5.27,5.73
STN_B,2025-02-10 04:00:00,6.44,7.78,387.04,9.97,6.34,7.92
STN_C,2025-02-10 04:00:00,5.86,7.59,427.61,17.11,8.54,11.12
STN_D,2025-02-10 04:00:00,5.38,7.29,526.97,26.29,12.83,13.13
STN_A,2025-02-10 05:00:00,7.65,7.74,345.42,10.01,5.16,5.77
STN_B,2025-02-10 05:00:00,7.13,7.59,389.79,12.47,7.31,7.78
STN_C,2025-02-10 05:00:00,6.44,7.36,448.96,17.46,9.5,10.05
STN_D,2025-02-10 05:00:00,5.5,7.43,513.81,25.48,11.08,12.8
STN_A,2025-02-10 06:00:00,7.79,7.7,338.98,9.76,4.08,7.09
STN_B,2025-02-10 06:00:00,7.37,7.62,391.49,12.39,5.67,6.65
STN_C,2025-02-10 06:00:00,6.59,7.45,448.77,16.91,8.7,10.22
STN_D,2025-02-10 06:00:00,5.71,7.19,520.55,24.18,13.42,15.06
STN_A,2025-02-10 07:00:00,7.47,7.65,322.05,7.99,5.87,6.29
STN_B,2025-02-10 07:00:00,7.24,7.64,390.46,12.69,6.49,6.36
STN_C,2025-02-10 07:00:00,6.6,7.5,448.78,17.39,8.66,10.49
STN_D,2025-02-10 07:00:00,5.05,7.45,504.48,22.21,13.75,12.78
STN_A,2025-02-10 08:00:00,7.31,7.87,348.11,6.0,3.53,4.77
STN_B,2025-02-10 08:00:00,7.21,7.81,364.09,14.42,5.73,7.5
STN_C,2025-02-10 08:00:00,5.85,7.47,448.63,17.82,9.6,9.69
STN_D,2025-02-10 08:00:00,5.26,7.42,540.43,25.26,12.7,13.75
STN_A,2025-02-10 09:00:00,7.7,7.69,308.64,7.26,5.84,5.6
STN_B,2025-02-10 09:00:00,6.99,7.69,360.48,15.2,6.68,7.73
STN_C,2025-02-10 09:00:00,5.62,7.53,444.95,16.31,8.53,9.54
STN_D,2025-02-10 09:00:00,5.06,7.37,514.49,25.8,13.64,13.22
STN_A,2025-02-10 10:00:00,6.67,7.73,338.2,8.17,5.52,5.57
STN_B,2025-02-10 10:00:00,6.19,7.65,384.75,13.91,7.75,7.84
STN_C,2025-02-10 10:00:00,6.18,7.5,447.77,16.1,9.33,10.51
STN_D,2025-02-10 10:00:00,4.98,7.45,535.38,23.24,13.39,13.11
STN_A,2025-02-10 11:00:00,6.99,7.81,319.53,11.14,3.61,4.26
STN_B,2025-02-10 11:00:00,6.54,7.68,366.39,10.3,6.48,6.42
STN_C,2025-02-10 11:00:00,6.02,7.39,457.71,16.22,10.33,10.18
STN_D,2025-02-10 11:00:00,5.45,7.4,502.93,26.62,11.15,12.47
STN_A,2025-02-10 12:00:00,7.68,7.78,351.4,7.74,4.38,5.61
STN_B,2025-02-10 12:00:00,6.49,7.53,366.85,12.62,5.44,6.64
STN_C,2025-02-10 12:00:00,5.91,7.39,464.35,17.66,8.83,10.55
STN_D,2025-02-10 12:00:00,4.85,7.24,511.02,24.98,13.71,12.47
STN_A,2025-02-10 13:00:00,7.35,7.73,343.8,13.0,5.44,5.85
STN_B,2025-02-10 13:00:00,5.97,7.47,385.7,9.75,6.79,6.01
STN_C,2025-02-10 13:00:00,6.01,7.34,452.19,17.17,7.78,11.03
STN_D,2025-02-10 13:00:00,5.37,7.24,530.22,24.71,12.52,13.75
STN_A,2025-02-10 14:00:00,7.01,7.75,328.08,8.34,3.68,5.01
STN_B,2025-02-10 14:00:00,6.49,7.42,396.88,11.87,5.64,6.63
STN_C,2025-02-10 14:00:00,5.75,7.34,474.13,16.4,8.83,10.24
STN_D,2025-02-10 14:00:00,4.62,7.24,525.09,26.02,13.5,12.51
STN_A,2025-02-10 15:00:00,6.84,7.57,326.74,8.94,3.5,4.75
STN_B,2025-02-10 15:00:00,6.29,7.53,377.0,13.28,6.88,6.98
STN_C,2025-02-10 15:00:00,5.18,7.22,450.8,16.16,9.37,11.02
STN_D,2025-02-10 15:00:00,4.63,7.18,550.26,27.56,11.68,13.38
STN_A,2025-02-10 16:00:00,6.76,7.62,347.51,8.42,4.48,5.71
STN_B,2025-02-10 16:00:00,6.42,7.58,388.37,9.96,5.9,7.79
STN_C,2025-02-10 16:00:00,5.44,7.37,478.6,16.53,10.2,10.1
STN_D,2025-02-10 16:00:00,4.94,7.2,552.2,25.49,11.78,13.55
STN_A,2025-02-10 17:00:00,6.71,7.69,327.01,12.01,4.2,5.23
STN_B,2025-02-10 17:00:00,5.83,7.5,383.76,12.72,6.35,6.93
STN_C,2025-02-10 17:00:00,5.05,7.27,467.42,20.33,9.23,9.73
STN_D,2025-02-10 17:00:00,4.59,7.36,535.28,26.12,13.06,14.22
STN_A,2025-02-10 18:00:00,6.25,7.56,312.36,9.17,4.42,5.75
STN_B,2025-02-10 18:00:00,5.84,7.6,379.25,13.34,7.25,7.96
STN_C,2025-02-10 18:00:00,5.4,7.36,476.42,19.06,8.71,10.64
STN_D,2025-02-10 18:00:00,4.58,7.01,527.22,25.47,13.22,12.84
STN_A,2025-02-10 19:00:00,6.16,7.61,326.0,8.43,4.31,4.65
STN_B,2025-02-10 19:00:00,5.97,7.47,396.38,12.86,6.07,8.33
STN_C,2025-02-10 19:00:00,5.23,7.34,447.79,20.74,9.36,10.36
STN_D,2025-02-10 19:00:00,4.57,7.21,538.29,26.56,12.32,14.31
STN_A,2025-02-10 20:00:00,6.92,7.57,299.59,7.67,4.62,5.65
STN_B,2025-02-10 20:00:00,6.47,7.42,373.71,10.53,5.22,6.92
STN_C,2025-02-10 20:00:00,5.47,7.37,436.07,17.08,7.87,10.42
STN_D,2025-02-10 20:00:00,4.44,7.34,526.44,25.04,11.78,12.4
STN_A,2025-02-10 21:00:00,6.33,7.57,309.81,6.79,4.59,5.6
STN_B,2025-02-10 21:00:00,6.0,7.68,354.09,12.38,6.12,6.96
STN_C,2025-02-10 21:00:00,5.23,7.32,446.91,17.71,8.25,9.32
STN_D,2025-02-10 21:00:00,4.65,7.19,517.34,25.13,11.88,13.17
STN_A,2025-02-10 22:00:00,6.59,7.77,308.3,7.74,3.71,4.85
STN_B,2025-02-10 22:00:00,6.25,7.53,373.4,11.87,5.72,7.53
STN_C,2025-02-10 22:00:00,6.16,7.27,456.2,18.36,9.83,10.71
STN_D,2025-02-10 22:00:00,4.9,7.24,513.78,24.15,12.22,12.52
STN_A,2025-02-10 23:00:00,6.79,7.76,321.77,9.63,5.47,5.19
STN_B,2025-02-10 23:00:00,6.43,7.54,368.1,10.86,6.97,7.42
STN_C,2025-02-10 23:00:00,6.22,7.44,439.32,19.55,9.05,11.02
STN_D,2025-02-10 23:00:00,4.82,7.18,508.36,24.18,11.62,12.95
STN_A,2025-02-11 00:00:00,7.35,7.84,300.34,10.19,3.91,5.5
STN_B,2025-02-11 00:00:00,6.0,7.63,350.21,12.76,6.5,7.41
STN_C,2025-02-11 00:00:00,5.57,7.44,456.16,17.98,9.83,10.24
STN_D,2025-02-11 00:00:00,5.25,7.28,523.54,26.15,11.97,12.55
STN_A,2025-02-11 01:00:00,7.31,7.81,324.78,8.77,4.26,5.74
STN_B,2025-02-11 01:00:00,6.57,7.58,396.87,11.5,7.0,7.96
STN_C,2025-02-11 01:00:00,6.09,7.32,450.7,17.99,8.9,10.38
STN_D,2025-02-11 01:00:00,5.45,7.28,517.72,24.93,13.22,13.14
STN_A,2025-02-11 02:00:00,6.97,7.62,325.73,7.15,4.83,4.49
STN_B,2025-02-11 02:00:00,6.58,7.54,386.81,13.27,6.56,6.64
STN_C,2025-02-11 02:00:00,5.82,7.46,424.98,17.93,10.51,10.18
STN_D,2025-02-11 02:00:00,4.9,7.29,510.83,28.5,13.63,13.73
STN_A,2025-02-11 03:00:00,7.34,7.86,303.29,9.91,5.03,5.2
STN_B,2025-02-11 03:00:00,7.19,7.63,361.32,13.76,6.22,7.65
STN_C,2025-02-11 03:00:00,6.69,7.41,448.14,20.65,9.83,9.87
STN_D,2025-02-11 03:00:00,5.16,7.32,509.22,25.65,12.36,13.46
STN_A,2025-02-11 04:00:00,7.27,7.77,289.46,8.51,5.23,4.44
STN_B,2025-02-11 04:00:00,7.07,7.63,392.33,12.53,6.62,7.33
STN_C,2025-02-11 04:00:00,6.62,7.51,439.71,18.44,9.0,10.39
STN_D,2025-02-11 04:00:00,5.4,7.32,523.28,25.38,13.14,13.04
STN_A,2025-02-11 05:00:00,6.98,7.76,295.9,8.92,2.95,4.7
STN_B,2025-02-11 05:00:00,6.87,7.81,364.2,12.31,6.76,8.18
STN_C,2025-02-11 05:00:00,6.51,7.58,463.26,16.48,9.58,10.8
STN_D,2025-02-11 05:00:00,5.29,7.34,508.24,26.45,12.24,13.1
STN_A,2025-02-11 06:00:00,7.21,7.79,311.78,8.66,3.38,5.4
STN_B,2025-02-11 06:00:00,6.86,7.59,360.38,10.53,6.13,7.36
STN_C,2025-02-11 06:00:00,6.37,7.52,438.91,19.88,8.94,10.56
STN_D,2025-02-11 06:00:00,5.54,7.42,517.08,25.88,12.29,13.78
STN_A,2025-02-11 07:00:00,7.33,7.65,305.69,9.9,4.17,5.35
STN_B,2025-02-11 07:00:00,6.66,7.69,364.95,10.98,5.97,7.56
STN_C,2025-02-11 07:00:00,6.44,7.53,426.47,18.28,9.13,9.37
STN_D,2025-02-11 07:00:00,5.58,7.37,527.96,25.41,11.85,13.85
STN_A,2025-02-11 08:00:00,6.86,7.77,293.84,6.92,4.71,4.53
STN_B,2025-02-11 08:00:00,6.5,7.87,359.9,14.77,6.15,6.98
STN_C,2025-02-11 08:00:00,6.39,7.59,433.1,17.53,9.97,10.46
STN_D,2025-02-11 08:00:00,5.86,7.42,547.42,25.56,12.47,13.48
STN_A,2025-02-11 09:00:00,7.4,7.83,323.85,9.47,5.05,5.55
STN_B,2025-02-11 09:00:00,7.0,7.58,372.04,13.56,7.43,6.13
STN_C,2025-02-11 09:00:00,5.97,7.46,437.1,17.06,9.67,11.24
STN_D,2025-02-11 09:00:00,4.84,7.35,527.24,26.46,12.55,14.35
STN_A,2025-02-11 10:00:00,7.35,7.85,310.6,8.38,3.32,5.83
STN_B,2025-02-11 10:00:00,6.71,7.67,375.59,13.17,6.61,6.69
STN_C,2025-02-11 10:00:00,5.76,7.44,460.19,21.09,9.53,10.9
STN_D,2025-02-11 10:00:00,4.86,7.5,529.38,25.22,12.16,12.63
STN_A,2025-02-11 11:00:00,6.97,7.87,305.46,6.78,3.73,4.57
STN_B,2025-02-11 11:00:00,6.63,7.7,371.13,10.23,6.53,7.26
STN_C,2025-02-11 11:00:00,6.22,7.38,446.39,18.07,9.36,10.06
STN_D,2025-02-11 11:00:00,5.05,7.17,511.81,26.36,12.97,13.01
STN_A,2025-02-11 12:00:00,7.48,7.69,300.22,5.81,5.27,5.07
STN_B,2025-02-11 12:00:00,6.13,7.41,374.36,12.9,5.73,6.66
STN_C,2025-02-11 12:00:00,5.63,7.49,429.4,17.33,10.26,10.59
STN_D,2025-02-11 12:00:00,5.15,7.24,520.75,24.48,11.6,12.64
STN_A,2025-02-11 13:00:00,7.2,7.66,325.01,8.52,4.64,5.14
STN_B,2025-02-11 13:00:00,6.22,7.5,359.08,10.61,6.0,6.33
STN_C,2025-02-11 13:00:00,5.25,7.45,453.65,17.61,11.11,9.3
STN_D,2025-02-11 13:00:00,5.25,7.26,532.07,25.45,10.79,13.35
STN_A,2025-02-11 14:00:00,6.94,7.47,349.45,8.76,4.83,4.59
STN_B,2025-02-11 14:00:00,6.45,7.63,384.09,12.28,5.58,7.16
STN_C,2025-02-11 14:00:00,5.39,7.39,437.54,19.14,8.62,10.13
STN_D,2025-02-11 14:00:00,5.03,7.18,530.05,26.12,12.07,13.99
STN_A,2025-02-11 15:00:00,6.76,7.71,347.19,7.93,4.81,4.91
STN_B,2025-02-11 15:00:00,5.83,7.5,359.85,10.88,6.76,6.98
STN_C,2025-02-11 15:00:00,5.65,7.34,478.06,19.08,10.18,10.53
STN_D,2025-02-11 15:00:00,4.83,7.31,530.32,25.61,12.46,13.61
STN_A,2025-02-11 16:00:00,6.46,7.55,341.67,11.09,3.55,4.89
STN_B,2025-02-11 16:00:00,6.4,7.55,390.44,13.64,6.1,7.49
STN_C,2025-02-11 16:00:00,5.43,7.24,455.02,20.15,9.02,10.38
STN_D,2025-02-11 16:00:00,4.72,7.18,530.44,24.27,13.36,13.67
STN_A,2025-02-11 17:00:00,6.33,7.73,322.81,7.21,5.17,5.59
STN_B,2025-02-11 17:00:00,5.48,7.45,384.48,9.05,6.36,7.39
STN_C,2025-02-11 17:00:00,4.95,7.32,450.4,16.5,10.03,10.79
STN_D,2025-02-11 17:00:00,4.52,7.18,531.18,24.99,10.75,13.58
STN_A,2025-02-11 18:00:00,6.35,7.56,342.16,8.09,4.29,5.6
STN_B,2025-02-11 18:00:00,6.14,7.42,379.39,12.34,6.51,7.46
STN_C,2025-02-11 18:00:00,6.07,7.2,464.99,20.07,9.68,9.9
STN_D,2025-02-11 18:00:00,5.09,7.02,510.04,27.05,11.99,14.25
STN_A,2025-02-11 19:00:00,6.15,7.5,312.32,8.92,4.11,5.0
STN_B,2025-02-11 19:00:00,6.43,7.61,374.07,9.73,4.56,7.43
STN_C,2025-02-11 19:00:00,5.5,7.3,449.23,17.08,9.81,11.3
STN_D,2025-02-11 19:00:00,3.94,7.19,505.74,23.05,11.39,13.52
STN_A,2025-02-11 20:00:00,6.78,7.72,320.42,5.65,4.1,4.46
STN_B,2025-02-11 20:00:00,5.7,7.55,383.2,13.17,6.0,7.76
STN_C,2025-02-11 20:00:00,5.23,7.39,455.46,17.98,9.46,10.28
STN_D,2025-02-11 20:00:00,5.14,7.22,520.27,24.93,12.96,13.72
STN_A,2025-02-11 21:00:00,6.65,7.53,306.76,8.01,5.37,5.14
STN_B,2025-02-11 21:00:00,5.96,7.38,402.99,13.14,6.93,7.87
STN_C,2025-02-11 21:00:00,5.39,7.33,472.62,18.56,9.76,10.81
STN_D,2025-02-11 21:00:00,4.93,7.21,519.78,26.46,12.91,13.99
STN_A,2025-02-11 22:00:00,7.01,7.69,313.6,7.42,4.91,4.95
STN_B,2025-02-11 22:00:00,6.23,7.65,398.6,12.74,6.05,7.22
STN_C,2025-02-11 22:00:00,5.8,7.34,441.92,20.11,9.44,9.94
STN_D,2025-02-11 22:00:00,4.98,7.32,505.17,24.99,12.09,13.56
STN_A,2025-02-11 23:00:00,7.15,7.62,297.9,9.84,3.39,5.45
STN_B,2025-02-11 23:00:00,6.32,7.58,405.06,16.85,4.98,7.88
STN_C,2025-02-11 23:00:00,5.61,7.45,464.65,20.4,9.52,9.76
STN_D,2025-02-11 23:00:00,5.24,7.27,516.78,24.58,13.09,14.25
STN_A,2025-02-12 00:00:00,6.73,7.74,314.7,6.09,4.41,4.79
STN_B,2025-02-12 00:00:00,6.02,7.53,364.87,11.32,5.23,7.05
STN_C,2025-02-12 00:00:00,5.58,7.42,459.19,18.68,9.1,10.13
STN_D,2025-02-12 00:00:00,4.84,7.22,530.84,22.65,12.23,13.1
STN_A,2025-02-12 01:00:00,7.4,7.6,320.48,8.8,2.77,4.65
STN_B,2025-02-12 01:00:00,6.59,7.66,383.03,13.13,5.43,6.34
STN_C,2025-02-12 01:00:00,5.94,7.32,437.31,19.69,9.44,9.95
STN_D,2025-02-12 01:00:00,5.01,7.37,523.47,23.47,10.73,14.42
STN_A,2025-02-12 02:00:00,6.97,7.78,342.95,8.51,3.81,4.43
STN_B,2025-02-12 02:00:00,6.31,7.67,402.05,11.7,5.84,7.71
STN_C,2025-02-12 02:00:00,5.83,7.46,450.92,17.68,9.28,11.35
STN_D,2025-02-12 02:00:00,5.52,7.43,506.51,26.93,12.8,12.39
STN_A,2025-02-12 03:00:00,7.6,7.72,297.1,8.48,4.72,5.38
STN_B,2025-02-12 03:00:00,6.81,7.63,417.29,10.52,6.99,7.3
STN_C,2025-02-12 03:00:00,5.89,7.46,429.4,17.4,9.25,9.36
STN_D,2025-02-12 03:00:00,5.59,7.28,498.51,23.67,14.03,12.1
STN_A,2025-02-12 04:00:00,7.65,7.72,315.04,9.2,4.73,4.88
STN_B,2025-02-12 04:00:00,6.51,7.73,388.57,11.86,6.64,7.02
STN_C,2025-02-12 04:00:00,5.97,7.48,458.07,18.75,9.7,9.83
STN_D,2025-02-12 04:00:00,6.0,7.35,518.51,23.31,12.13,13.61
STN_A,2025-02-12 05:00:00,7.8,7.91,328.09,8.7,3.93,4.89
STN_B,2025-02-12 05:00:00,7.26,7.76,364.13,13.37,6.81,6.62
STN_C,2025-02-12 05:00:00,6.43,7.4,413.85,18.05,9.5,10.22
STN_D,2025-02-12 05:00:00,6.43,7.42,522.5,25.93,11.94,13.85
STN_A,2025-02-12 06:00:00,7.7,7.81,310.93,5.94,3.89,5.46
STN_B,2025-02-12 06:00:00,6.86,7.71,376.8,12.93,5.51,7.4
STN_C,2025-02-12 06:00:00,6.1,7.37,447.81,20.59,8.12,10.36
